,Time,User,Tweet
0,2022-10-16 17:16:00+00:00,Nina_Zhou000,Hello
1,2022-10-16 16:02:04+00:00,harvardmed,Immunologist Dyann Wirth discusses a new malaria vaccine recently found to be up to 80% effective in young children… https://t.co/PRgwvq1grr
2,2022-10-16 13:50:10+00:00,harvardmed,"The largest study of its kind to date has identified more than 12,000 genetic variants that influence height https://t.co/DqyW1M9dUf"
3,2022-10-15 23:48:28+00:00,cnnbrk,Authorities in central California have arrested a man in connection with a series of killings that claimed the live… https://t.co/Xfm1vMhNv3
4,2022-10-15 18:25:12+00:00,harvardmed,Fall colors on the Harvard Medical School campus 🍁🍂 https://t.co/Y0qEEl751P
5,2022-10-15 16:02:19+00:00,harvardmed,MD-PhD student Deborah Plana is working to improve survival outcomes for cancer patients by developing new data ana… https://t.co/YpK60MZmco
6,2022-10-15 13:30:00+00:00,OnlyInBOS,Happy Saturday from the squad heading to brunch... https://t.co/IZATelfZpa
7,2022-10-15 13:00:00+00:00,OnlyInBOS,"ALERT: The Federal Student Loan Debt Relief is now live.

Apply today (but no later than Dec. 31, 2023).

https://t.co/JcsbLY8MUY"
8,2022-10-15 12:30:00+00:00,OnlyInBOS,"Today is the last day that the sun will set after 6PM in Boston in 2022.

🙃"
9,2022-10-15 12:01:59+00:00,harvardmed,"The classic view of pain is that it protects by detecting and signaling the presence of harmful agents, but new res… https://t.co/C6cHeVl2Rm"
10,2022-10-15 12:00:01+00:00,OnlyInBOS,I think a pipe broke at the Winthrop Center construction site... https://t.co/cAdDmGdVoT
11,2022-10-15 11:30:00+00:00,OnlyInBOS,"Robert Kraft married Dr. Dana Blumberg in a star-studded surprise wedding (Tom Brady, Drew Bledsoe, Randy Moss, Mee… https://t.co/Jwk0B5gYNz"
12,2022-10-14 21:40:11+00:00,harvardmed,"Alister Martin, an HMS assistant professor and @MassGeneralNews emergency physician, founded Vot-ER, an organizatio… https://t.co/PTKA6GHbqQ"
13,2022-10-14 20:37:21+00:00,harvardmed,RT @Harvard: It feels like fall at @harvardmed and @dental_harvard 🍂 https://t.co/CVt8gUqdud
14,2022-09-28 17:07:51+00:00,cnnbrk,"Authorities are responding to reports of an active shooter at a hospital north of Little Rock, Arkansas, law enforc… https://t.co/LHCs3xgKlb"
15,2022-09-28 16:17:21+00:00,harvardmed,"Research indicates that nighttime eating may affect mental health, including levels of depression and anxiety https://t.co/e1zyAX9OZt"
16,2022-09-28 13:24:00+00:00,harvardmed,"The event highlighted the ways that finding effective solutions to the mental health crisis will require social, ec… https://t.co/MswdqdDlRm"
17,2022-09-28 11:08:17+00:00,cnnbrk,"At least four Palestinians are killed in one of the deadliest Israeli raids in the West Bank this year, Palestinian… https://t.co/W8eY329Gj9"
18,2022-09-28 09:16:08+00:00,cnnbrk,Hurricane Ian strengthens into a Category 4 storm with 140 mph winds as it bears down on Florida https://t.co/by4rZnlsVJ
19,2022-09-28 06:47:18+00:00,JacksonWang852,Finally. After all this … https://t.co/e66WKDrBkl
